airport_code,airport_name,enplanements,year
GTR,Golden Triangle Regional,36329,2010
BFI,Boeing Field/King County International,33656,2010
ABY,Southwest Georgia Regional,35494,2010
GCC,Gillette-Campbell County,29230,2010
ALW,Walla Walla Regional,29064,2010
BQK,Brunswick Golden Isles,30059,2010
DLG,Dillingham,42927,2010
DUT,Unalaska,26711,2010
TXK,Texarkana Regional-Webb Field,26690,2010
ISN,Sloulin Field International,16473,2010
RVR,Jose Aponte De La Torre,11308,2010
SUX,Sioux Gateway/Col. Bud Day Field,24701,2010
COD,Yellowstone Regional,28454,2010
JLN,Joplin Regional,4078,2010
RHI,Rhinelander-Oneida County,25137,2010
RKS,Rock Springs-Sweetwater County,20993,2010
MMH,Mammoth Yosemite,19814,2010
CYS,Cheyenne Regional/Jerry Olson Field,19507,2010
BTM,Bert Mooney,25433,2010
IPT,Williamsport Regional,22519,2010
ABR,Aberdeen Regional,20089,2010
PGA,Page Municipal,20264,2010
BJI,Bemidji Regional,21498,2010
EKO,Elko Regional,21863,2010
LHD,Lake Hood,19789,2010
MRI,Merrill Field,14972,2010
CMX,Houghton County Memorial,21186,2010
PLN,Pellston Regional Airport of Emmet County,23324,2010
PUB,Pueblo Memorial,11641,2010
ALO,Waterloo Regional,23206,2010
OTH,Southwest Oregon Regional,23124,2010
PIH,Pocatello Regional,20825,2010
GGG,East Texas Regional,21830,2010
GRO,Rota International,21964,2010
CIC,Chico Municipal,23272,2010
SIG,Fernando Luis Ribas Dominicci,38363,2010
EAU,Chippewa Valley Regional,18369,2010
DIK,Dickinson - Theodore Roosevelt Regional,10383,2010
CIU,Chippewa County International,14349,2010
MOD,Modesto City County-Harry Sham Field,23487,2010
PSG,Petersburg James A Johnson,18468,2010
MEI,Key Field,16871,2010
PAH,Barkley Regional,19903,2010
CDV,Merle K (Mudhole) Smith,17856,2010
BRD,Brainerd Lakes Regional,16404,2010
OWB,Owensboro-Daviess County,16193,2010
LWB,Greenbrier Valley,12293,2010
CVX,Charlevoix Municipal,14966,2010
TNI,Tinian International,19520,2010
RKD,Knox County Regional,17657,2010
FMN,Four Corners Regional,13389,2010
ANI,Aniak,16394,2010
VDZ,Valdez Pioneer Field,15739,2010
PIB,Hattiesburg-Laurel Regional,13766,2010
LMT,Klamath Falls,21353,2010
INL,Falls International,14051,2010
CEC,Jack McNamara Field,14341,2010
PVU,Provo Municipal,1124,2010
PIR,Pierre Regional,14686,2010
RIW,Riverton Regional,14361,2010
PQI,Northern Maine Regional Airport at Presque Isle,15052,2010
MKG,Muskegon County,13088,2010
BPT,Jack Brooks Regional,17394,2010
ESC,Delta County,9246,2010
SHR,Sheridan County,14146,2010
TUP,Tupelo Regional,12749,2010
BHB,Hancock County-Bar Harbor,11109,2010
KSM,St Mary's,9891,2010
UNK,Unalakleet,12693,2010
APN,Alpena County Regional,8737,2010
HIB,Range Regional,11227,2010
SHD,Shenandoah Valley Regional,10408,2010
CKB,North Central West Virginia,10694,2010
MBA,Manokotak,12409,2010
GCK,Garden City Regional,10155,2010
WRG,Wrangell,10882,2010
MCW,Mason City Municipal,13852,2010
GST,Gustavus,9996,2010
HYS,Hays Regional,9026,2010
IMT,Ford,6943,2010
FHR,Friday Harbor,12381,2010
MBL,Manistee County-Blacker,3413,2010
EWB,New Bedford Regional,12363,2010
EAR,Kearney Regional,9530,2010
TEX,Telluride Regional,9677,2010
PVC,Provincetown Municipal,11450,2010
LBF,North Platte Regional Airport Lee Bird Field,8391,2010
BED,Laurence G Hanscom Field,7952,2010
FOD,Fort Dodge Regional,8207,2010
GAL,Edward G. Pitka Sr,12421,2010
HNH,Hoonah,10759,2010
MGW,Morgantown Municipal-Walter L. Bill Hart Field,11249,2010
MWA,Williamson County Regional,8047,2010
YAK,Yakutat,10035,2010
BID,Block Island State,9821,2010
